workers,scale,load,1 layer average time,1 layer 90th precntile,1 layer worst time, 2 layers average time,2 layers 90th precntile,2 layers worst time, 3 layers average time,3 layers 90th precntile,3 layers worst time, 4 layers average time,4 layers 90th precntile,4 layers worst time, 5 layers average time,5 layers 90th precntile,5 layers worst time, 6 layers average time,6 layers 90th precntile,6 layers worst time
3,40,13,0.558185815811,0.216838121414,4.34399199486,0.307030916214,0.386844873428,0.479202032089,0.404298210144,0.450240135193,0.460433959961,0.560632801056,0.692232847214,0.707888126373,0.700285458565,0.758337974548,0.791332960129,1.00209181309,1.07284903526,1.13289809227
3,45,15,0.558536744118,0.372138977051,4.03628087044,0.32353477478,0.448575019836,0.466053009033,0.498998880386,0.592923164368,0.649412870407,0.656508207321,0.768918991089,0.837599992752,0.792125678062,0.865535974503,0.879838943481,0.974435734749,1.09039211273,1.09703493118
3,50,16,0.592762422562,0.297940969467,4.40859699249,0.358802890778,0.390068054199,0.394373893738,0.587696933746,0.684509992599,0.786483049393,0.674899601936,0.76008605957,0.877665996552,0.878255724907,0.928395032883,1.00977301598,1.07322797775,1.18198299408,1.2734849453
4,5,1,0.629475593567,0.157732963562,5.47166490555,0.229845118523,0.357423067093,0.496456861496,0.337320208549,0.416418075562,0.52431511879,0.445704913139,0.559391021729,0.674470901489,0.52256758213,0.626608133316,0.629140853882,0.629015159607,0.706437110901,0.86251115799
4,10,2,0.63874900341,0.183557033539,5.32989096642,0.196975278854,0.265243053436,0.266142845154,0.323709750175,0.431845903397,0.439843177795,0.448874235153,0.472077131271,0.830668926239,0.539582514763,0.681382894516,0.700273036957,0.666115403175,0.853014945984,0.88987994194
4,15,3,0.692511558533,0.193111896515,5.79920291901,0.230671977997,0.299749851227,0.333894968033,0.341260671616,0.373043060303,0.522186040878,0.454351782799,0.536050796509,0.58958697319,0.555525541306,0.701470136642,0.762243032455,0.700963497162,0.895964860916,0.923251152039
4,20,5,0.644847488403,0.183706998825,5.40046000481,0.256024384499,0.361526012421,0.445681810379,0.335978841782,0.37787604332,0.554017066956,0.46337954998,0.557139873505,0.624905109406,0.580823755264,0.721308946609,0.860694885254,0.666825580597,0.863698005676,0.863817930222
4,25,6,0.709858727455,0.207442045212,6.07678699493,0.219554233551,0.274775028229,0.317300081253,0.386209869385,0.413265943527,0.423667907715,0.463046360016,0.522816896439,0.602358102798,0.543506097794,0.611840009689,0.668417930603,0.782932972908,0.898168802261,1.02306818962
4,30,7,0.669664120674,0.206815958023,5.43284916878,0.28978998661,0.364694833755,0.432631015778,0.403880882263,0.45741891861,0.805335044861,0.568111777306,0.646817922592,0.825385808945,0.655051541328,0.867748975754,0.982516050339,0.802369904518,0.957983970642,0.959223031998
4,35,8,0.791401648521,0.241019964218,6.43965697289,0.269052815437,0.354207038879,0.366034984589,0.470449519157,0.635391950607,0.752811908722,0.537781262398,0.647347927094,0.759849071503,0.670955634117,0.757174015045,0.765663146973,0.783432149887,0.842821121216,0.925299167633
4,40,10,0.721017837524,0.235301017761,5.70911097527,0.276678848267,0.324428081512,0.422748088837,0.449401736259,0.523502111435,0.535773992538,0.62886493206,0.719593048096,0.96312713623,0.750008916855,0.816914081573,0.955419063568,0.965157485008,1.1465420723,1.35669708252
4,45,11,0.69186103344,0.223911046982,5.52408409119,0.300300621986,0.372305870056,0.43478012085,0.488503193855,0.593191146851,0.699830055237,0.680556988716,0.745321989059,0.757909059525,0.837543392181,0.937852859497,0.964130163193,0.979547119141,1.05444598198,1.22247385979
4,50,12,0.726673913002,0.241577863693,5.754748106,0.309367012978,0.372677087784,0.418931007385,0.614086055756,0.761190891266,0.777664899826,0.661198973656,0.681978940964,0.930986881256,0.963999462128,1.03276491165,1.03676199913,1.08800194263,1.25143909454,1.32050609589
5,5,1,0.809867787361,0.197556972504,7.03169989586,0.194374465942,0.249607086182,0.282759904861,0.357171678543,0.505723953247,0.588934898376,0.543439888954,0.66987991333,0.719063043594,0.582495188713,0.735650062561,1.00961208344,0.765564441681,0.901966094971,1.06379008293
5,10,2,0.803318405151,0.183982849121,7.08370399475,0.234648013115,0.279787063599,0.282751083374,0.362238430977,0.425762176514,0.543773889542,0.415128612518,0.474013090134,0.476684093475,0.599374890327,0.68595790863,0.812721014023,0.67250328064,0.82981801033,0.941345930099
5,15,3,0.795404076576,0.185849905014,7.07334685326,0.261225271225,0.289444923401,0.416054964066,0.375680828094,0.408163070679,0.504258871078,0.462847614288,0.610590934753,0.614772081375,0.593070316315,0.768769025803,0.806735038757,0.680021572113,0.813630819321,0.82811999321
